compound name,smiles,[-CH3],[-CH2-],[>CH-],[>C<],(-CH2-)R,(>CH-)R,(>C<)R,[=CH2],[=CH-],[=C<],(=CH-)R,(=C<)R,aCHa,saCa,aaCa,[-OH](alcohol),[-OH](phenol),[-O-],(-O-)R,[>C=O],(>C=O)R,[-CHO],[-COO-],[-COOH],FP,MW
cis-2-hexene,C/C=C\CCC,35.7143,33.3333,0,0,0,0,0,0,30.9524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,84
allylcyclohexane,C=CCC1CCCCC1,0,11.2903,0,0,56.4516,10.4839,0,11.2903,10.4839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,124
"2,5-dimethylhexane",CC(C)CCC(C)C,52.6316,24.5614,22.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,271,114
"2,4,6-trimethylheptane",CC(C)CC(C)CC(C)C,52.8169,19.7183,27.4648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,142
"3,3-dimethylpentane",CCC(C)(C)CC,60,28,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,254,100
cis-3-hexene,CC/C=C\CC,35.7143,33.3333,0,0,0,0,0,0,30.9524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,84
"1,1-dimethylcyclohexane",CC1(C)CCCCC1,26.7857,0,0,0,62.5,0,10.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,112
2-propenylcyclopentane,CC=CC1CCCC1,13.6364,0,0,0,50.9091,11.8182,0,0,23.6364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,110
cis-2-heptene,C/C=C\CCCC,30.6122,42.8571,0,0,0,0,0,0,26.5306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,265,98
"3-methyl-1,3-pentadiene",C=CC(C)=CC,36.5854,0,0,0,0,0,0,17.0732,31.7073,14.6341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,245,82
1-pentene,C=CCCC,21.4286,40,0,0,0,0,0,20,18.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,222,70
"2,2,3,4-tetramethylpentane",CC(C)C(C)C(C)(C)C,70.3125,0,20.3125,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,128
3-ethylpentane,CCC(CC)CC,45,42,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,100
"2,2,4,4-tetramethylpentane",CC(C)(C)CC(C)(C)C,70.3125,10.9375,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,128
"2,2-dimethyloctane",CCCCCCC(C)(C)C,42.2535,49.2958,0,8.4507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,142
"2,2,3-trimethylhexane",CCCC(C)C(C)(C)C,58.5938,21.875,10.1562,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,128
"2,2,3-trimethylpentane",CCC(C)C(C)(C)C,65.7895,12.2807,11.4035,10.5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,114
"3-ethyl-2,2-dimethylpentane",CCC(CC)C(C)(C)C,58.5938,21.875,10.1562,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,286,128
n-butylcyclohexane,CCCCC1CCCCC1,10.7143,30,0,0,50,9.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321,140
"2,3,3,4-tetramethylhexane",CCC(C)C(C)(C)C(C)C,63.3803,9.8592,18.3099,8.4507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,142
1-decene,C=CCCCCCCCC,10.7143,70,0,0,0,0,0,10,9.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,140
3-methyloctane,CCCCCC(C)CC,35.1562,54.6875,10.1562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,128
1-undecene,C=CCCCCCCCCC,9.7403,72.7273,0,0,0,0,0,9.0909,8.4416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,154
3-ethyl-3-methylpentane,CCC(C)(CC)CC,52.6316,36.8421,0,10.5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,276,114
"2,3-dimethyloctane",CCCCCC(C)C(C)C,42.2535,39.4366,18.3099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,309,142
3-ethyl-3-methylheptane,CCCCC(C)(CC)CC,42.2535,49.2958,0,8.4507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,142
(2-methylbutyl)benzene,CCC(C)Cc1ccccc1,20.2703,18.9189,8.7838,0,0,0,0,0,0,0,0,0,43.9189,8.1081,0,0,0,0,0,0,0,0,0,0,337,148
"2,3-dimethylheptane",CCCCC(C)C(C)C,46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,128
3-methylcyclohexene,CC1C=CCCC1,15.625,0,0,0,43.75,13.5417,0,0,0,0,27.0833,0,0,0,0,0,0,0,0,0,0,0,0,0,270,96
"3,3-diethylpentane",CCC(CC)(CC)CC,46.875,43.75,0,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,294,128
cumene,CC(C)c1ccccc1,25,0,10.8333,0,0,0,0,0,0,0,0,0,54.1667,10,0,0,0,0,0,0,0,0,0,0,304,120
"1,4-hexadiene",C=CCC=CC,18.2927,17.0732,0,0,0,0,0,17.0732,47.561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,248,82
"2,2,3-trimethylbutane",CC(C)C(C)(C)C,75,0,13,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,100
benzene,c1ccccc1,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,262,78
"3,4-dimethylhexane",CCC(C)C(C)CC,52.6316,24.5614,22.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,277,114
2-methyl-2-heptene,CCCCC=C(C)C,40.1786,37.5,0,0,0,0,0,0,11.6071,10.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,281,112
"4,4-dimethyl-1-pentene",C=CCC(C)(C)C,45.9184,14.2857,0,12.2449,0,0,0,14.2857,13.2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,98
"2,4-dimethylpentane",CC(C)CC(C)C,60,14,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,261,100
"1,8-nonadiene",C=CCCCCCC=C,0,56.4516,0,0,0,0,0,22.5806,20.9677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,124
"1,4-cyclohexadiene",C1=CCC=CC1,0,0,0,0,35,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,262,80
4-methylnonane,CCCCCC(C)CCC,31.6901,59.1549,9.1549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,142
"3,3,4,4-tetramethylhexane",CCC(C)(C)C(C)(C)CC,63.3803,19.7183,0,16.9014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,142
n-butylbenzene,CCCCc1ccccc1,11.194,31.3433,0,0,0,0,0,0,0,0,0,0,48.5075,8.9552,0,0,0,0,0,0,0,0,0,0,323,134
"1,6-heptadiene",C=CCCCC=C,0,43.75,0,0,0,0,0,29.1667,27.0833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,96
cis-4-methyl-2-pentene,C/C=C\C(C)C,53.5714,0,15.4762,0,0,0,0,0,30.9524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,237,84
"3,3-dimethylhexane",CCCC(C)(C)CC,52.6316,36.8421,0,10.5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,114
"2,3-dimethyl-1,3-butadiene",C=C(C)C(=C)C,36.5854,0,0,0,0,0,0,34.1463,0,29.2683,0,0,0,0,0,0,0,0,0,0,0,0,0,0,251,82
"trans-1,2-dimethylcyclohexane",C[C@@H]1CCCC[C@H]1C,26.7857,0,0,0,50,23.2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,112
trans-2-hexene,C/C=C/CCC,35.7143,33.3333,0,0,0,0,0,0,30.9524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,84
1-tetradecene,C=CCCCCCCCCCCCC,7.6531,78.5714,0,0,0,0,0,7.1429,6.6327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,370,196
1-nonene,C=CCCCCCCC,11.9048,66.6667,0,0,0,0,0,11.1111,10.3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,298,126
"3,3,5-trimethylheptane",CCC(C)CC(C)(C)CC,52.8169,29.5775,9.1549,8.4507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,142
cyclononane,C1CCCCCCCC1,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,316,126
"2,3,4-trimethylpentane",CC(C)C(C)C(C)C,65.7895,0,34.2105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,114
"1,5-cyclooctadiene",C1=CCCC=CCC1,0,0,0,0,51.8519,0,0,0,0,0,48.1481,0,0,0,0,0,0,0,0,0,0,0,0,0,305,108
2-methyl-2-pentene,CCC=C(C)C,53.5714,16.6667,0,0,0,0,0,0,15.4762,14.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,84
propylcyclopentane,CCCC1CCCC1,13.3929,25,0,0,50,11.6071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,112
"1,5-hexadiene",C=CCCC=C,0,34.1463,0,0,0,0,0,34.1463,31.7073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,246,82
n-pentylcyclohexane,CCCCCC1CCCCC1,9.7403,36.3636,0,0,45.4545,8.4416,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,339,154
"3-ethyl-2,2-dimethylhexane",CCCC(CC)C(C)(C)C,52.8169,29.5775,9.1549,8.4507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311,142
"2,4,4-trimethyl-2-pentene",CC(C)=CC(C)(C)C,66.9643,0,0,10.7143,0,0,0,0,11.6071,10.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,272,112
1-methylcyclohexene,CC1=CCCCC1,15.625,0,0,0,58.3333,0,0,0,0,0,13.5417,12.5,0,0,0,0,0,0,0,0,0,0,0,0,272,96
n-butylcyclopentane,CCCCC1CCCC1,11.9048,33.3333,0,0,44.4444,10.3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,308,126
"2,3,3-trimethylpentane",CCC(C)(C)C(C)C,65.7895,12.2807,11.4035,10.5263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,273,114
trans-4-methyl-2-pentene,C/C=C/C(C)C,53.5714,0,15.4762,0,0,0,0,0,30.9524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,84
n-pentadecane,CCCCCCCCCCCCCCC,14.1509,85.8491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,388,212
4-ethyloctane,CCCCC(CC)CCC,31.6901,59.1549,9.1549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,142
toluene,Cc1ccccc1,16.3043,0,0,0,0,0,0,0,0,0,0,0,70.6522,13.0435,0,0,0,0,0,0,0,0,0,0,277,92
"2,2,5,5-tetramethylhexane",CC(C)(C)CCC(C)(C)C,63.3803,19.7183,0,16.9014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,142
cis-2-pentene,C/C=C\CC,42.8571,20,0,0,0,0,0,0,37.1429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226,70
"2,4-dimethylheptane",CCCC(C)CC(C)C,46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,128
1-dodecene,C=CCCCCCCCCCC,8.9286,75,0,0,0,0,0,8.3333,7.7381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346,168
4-methyl-1-hexene,C=CCC(C)CC,30.6122,28.5714,13.2653,0,0,0,0,14.2857,13.2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,258,98
"3-ethyl-2,3,4-trimethylpentane",CCC(C)(C(C)C)C(C)C,63.3803,9.8592,18.3099,8.4507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,142
n-octylbenzene,CCCCCCCCc1ccccc1,7.8947,51.5789,0,0,0,0,0,0,0,0,0,0,34.2105,6.3158,0,0,0,0,0,0,0,0,0,0,380,190
"2,2,4,4,6,8,8-heptamethylnonane",CC(CC(C)(C)C)CC(C)(C)CC(C)(C)C,59.7345,18.5841,5.7522,15.9292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,368,226
3-methyl-1-butene,C=CC(C)C,42.8571,0,18.5714,0,0,0,0,20,18.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,217,70
1-pentadecene,C=CCCCCCCCCCCCCC,7.1429,80,0,0,0,0,0,6.6667,6.1905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,385,210
"1,1-dimethylcyclopentane",CC1(C)CCCC1,30.6122,0,0,0,57.1429,0,12.2449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,257,98
"2,5-dimethylheptane",CCC(C)CCC(C)C,46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,128
"2,3-dimethyl-2-butene",CC(C)=C(C)C,71.4286,0,0,0,0,0,0,0,0,28.5714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,253,84
1-hexene,C=CCCCC,17.8571,50,0,0,0,0,0,16.6667,15.4762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,247,84
"2,6-dimethylheptane",CC(C)CCCC(C)C,46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,299,128
"1,2,3-trimethylbenzene",Cc1cccc(C)c1C,37.5,0,0,0,0,0,0,0,0,0,0,0,32.5,30,0,0,0,0,0,0,0,0,0,0,317,120
"4-methyl-1,3-pentadiene",C=CC=C(C)C,36.5854,0,0,0,0,0,0,17.0732,31.7073,14.6341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,82
"2,3,5-trimethylhexane",CC(C)CC(C)C(C)C,58.5938,10.9375,30.4688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,128
"2,3,3-trimethylhexane",CCCC(C)(C)C(C)C,58.5938,21.875,10.1562,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,128
"1,3-dimethylcyclohexene",CC1=CC(C)CCC1,27.2727,0,0,0,38.1818,11.8182,0,0,0,0,11.8182,10.9091,0,0,0,0,0,0,0,0,0,0,0,0,285,110
"cis-1,2-dimethylcyclohexane",C[C@H]1CCCC[C@H]1C,26.7857,0,0,0,50,23.2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,112
"2,3,3-trimethyl-1-butene",C=C(C)C(C)(C)C,61.2245,0,0,12.2449,0,0,0,14.2857,0,12.2449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,98
n-propylcyclohexane,CCCC1CCCCC1,11.9048,22.2222,0,0,55.5556,10.3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,126
"2,3-dimethylhexane",CCCC(C)C(C)C,52.6316,24.5614,22.807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,278,114
n-propylbenzene,CCCc1ccccc1,12.5,23.3333,0,0,0,0,0,0,0,0,0,0,54.1667,10,0,0,0,0,0,0,0,0,0,0,303,120
1-methylcyclopentene,CC1=CCCC1,18.2927,0,0,0,51.2195,0,0,0,0,0,15.8537,14.6341,0,0,0,0,0,0,0,0,0,0,0,0,256,82
"2,5-dimethyl-2,4-hexadiene",CC(C)=CC=C(C)C,54.5455,0,0,0,0,0,0,0,23.6364,21.8182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,110
isopropylcyclopentane,CC(C)C1CCCC1,26.7857,0,11.6071,0,50,11.6071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,112
cyclopentanecarboxaldehyde,C1(CCCC1)C=O,0,0,0,0,57.1429,13.2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.5918,0,0,301,98
"2,3,3-trimethyl-1-butene",CC(=C)C(C)(C)C,61.2245,0,0,12.2449,0,0,0,14.2857,0,12.2449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,98
"2,2,3,4-tetramethylhexane",CC(C)(C(C(CC)C)C)C,63.3803,9.8592,18.3099,8.4507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,304,142
isopropylglycidylether,C(C)(C)OCC1CO1,25.8621,12.069,11.2069,0,12.069,11.2069,0,0,0,0,0,0,0,0,0,0,0,13.7931,13.7931,0,0,0,0,0,306,116
"2,3-dimethyl-1-pentene",CC(=C)C(CC)C,45.9184,14.2857,13.2653,0,0,0,0,14.2857,0,12.2449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,98
"2-ethyl-1,4-dimethylbenzene",C(C)C1=C(C=CC(=C1)C)C,33.5821,10.4478,0,0,0,0,0,0,0,0,0,0,29.1045,26.8657,0,0,0,0,0,0,0,0,0,0,329,134
"3,3,4-trimethylhexane",CC(CC)(C(CC)C)C,58.5938,21.875,10.1562,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,128
5-methyl-1-hexene,CC(CCC=C)C,30.6122,28.5714,13.2653,0,0,0,0,14.2857,13.2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,263,98
4-methyl-1-heptene,CC(CC=C)CCC,26.7857,37.5,11.6071,0,0,0,0,12.5,11.6071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,275,112
ethyl2-methylpropanoate,C(C)OC(C(C)C)=O,38.7931,12.069,11.2069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.931,0,286,116
butylmethylether,C(CCC)OC,34.0909,47.7273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1818,0,0,0,0,0,0,263,88
cyclobutanone,C1(CCC1)=O,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,283,70
allylmethacrylate,C(C=C)OC(C(=C)C)=O,11.9048,11.1111,0,0,0,0,0,22.2222,10.3175,9.5238,0,0,0,0,0,0,0,0,0,0,0,0,34.9206,0,310,126
decylacetate,C(CCCCCCCCC)OC(C)=O,15,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,377,200
cycloheptanol,C1(CCCCCC1)O,0,0,0,0,73.6842,11.4035,0,0,0,0,0,0,0,0,0,14.9123,0,0,0,0,0,0,0,0,344,114
"4,4-dimethylheptane",CC(CCC)(CCC)C,46.875,43.75,0,9.375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,128
3-ethyl-4-methylhexane,C(C)C(CC)C(CC)C,46.875,32.8125,20.3125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,288,128
methyltert-pentylether,COC(C)(C)CC,58.8235,13.7255,0,11.7647,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6863,0,0,0,0,0,0,266,102
propylmethacrylate,C(CC)OC(C(=C)C)=O,23.4375,21.875,0,0,0,0,0,10.9375,0,9.375,0,0,0,0,0,0,0,0,0,0,0,0,34.375,0,308,128
"2,5-hexanedione",CC(CCC(C)=O)=O,26.3158,24.5614,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49.1228,0,0,0,0,351,114
4-propylphenol,C(CC)C1=CC=C(C=C1)O,11.0294,20.5882,0,0,0,0,0,0,0,0,0,0,38.2353,17.6471,0,0,12.5,0,0,0,0,0,0,0,379,136
"2-methyl-1,3-dioxolane",CC1OCCO1,17.0455,0,0,0,31.8182,14.7727,0,0,0,0,0,0,0,0,0,0,0,0,36.3636,0,0,0,0,0,271,88
butylbenzene,C(CCC)C1=CC=CC=C1,11.194,31.3433,0,0,0,0,0,0,0,0,0,0,48.5075,8.9552,0,0,0,0,0,0,0,0,0,0,323,134
"1,2-pentanediol",C(C(CCC)O)O,14.4231,40.3846,12.5,0,0,0,0,0,0,0,0,0,0,0,0,32.6923,0,0,0,0,0,0,0,0,378,104
trans-2-butenal,C(\C=C\C)=O,21.4286,0,0,0,0,0,0,0,37.1429,0,0,0,0,0,0,0,0,0,0,0,0,41.4286,0,0,282,70
heptanoicacid,C(CCCCCC)(=O)O,11.5385,53.8462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.6154,382,130
methylbenzoate,COC(C1=CC=CC=C1)=O,11.0294,0,0,0,0,0,0,0,0,0,0,0,47.7941,8.8235,0,0,0,0,0,0,0,0,32.3529,0,353,136
methylpropanoate,COC(CC)=O,34.0909,15.9091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,271,88
o-ethyltoluene,C(C)C1=C(C)C=CC=C1,25,11.6667,0,0,0,0,0,0,0,0,0,0,43.3333,20,0,0,0,0,0,0,0,0,0,0,312,120
cumene,C1(=CC=CC=C1)C(C)C,25,0,10.8333,0,0,0,0,0,0,0,0,0,54.1667,10,0,0,0,0,0,0,0,0,0,0,304,120
3-ethyl-1-pentene,C(C)C(C=C)CC,30.6122,28.5714,13.2653,0,0,0,0,14.2857,13.2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,256,98
"1,2,3,4-tetrahydronaphthalene",C1CCCC2=CC=CC=C12,0,0,0,0,42.4242,0,0,0,0,0,0,0,39.3939,18.1818,0,0,0,0,0,0,0,0,0,0,344,132
decylformate,C(CCCCCCCCC)OC=O,8.0645,67.7419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.6022,0,0,0,15.5914,0,0,373,186
isopentylpropanoate,C(CC(C)C)OC(CC)=O,31.25,29.1667,9.0278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.5556,0,319,144
cyclopentylmethylether,C1(CCCC1)OC,15,0,0,0,56,13,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,272,100
"3,3-dimethyloctane",CC(CC)(CCCCC)C,42.2535,49.2958,0,8.4507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,314,142
"trans-3,4-dimethylcyclopentanone",C[C@@H]1CC(C[C@H]1C)=O,26.7857,0,0,0,25,23.2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,314,112
hexanal,C(CCCCC)=O,15,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,298,100
4-ethylcyclohexanone,C(C)C1CCC(CC1)=O,11.9048,11.1111,0,0,44.4444,10.3175,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2222,0,0,0,336,126
2-methylanisole,CC1=C(C=CC=C1)OC,24.5902,0,0,0,0,0,0,0,0,0,0,0,42.623,19.6721,0,0,0,13.1148,0,0,0,0,0,0,324,122
tert-butylcyclohexane,C(C)(C)(C)C1CCCCC1,32.1429,0,0,8.5714,50,9.2857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,313,140
3-methyl-1-hexene,CC(C=C)CCC,30.6122,28.5714,13.2653,0,0,0,0,14.2857,13.2653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,255,98
1-ethyl-1-methylcyclopentane,C(C)C1(CCCC1)C,26.7857,12.5,0,0,50,0,10.7143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,279,112
4-decanone,CCCC(CCCCCC)=O,19.2308,62.8205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9487,0,0,0,0,344,156
cis-3-heptene,CC\C=C/CCC,30.6122,42.8571,0,0,0,0,0,0,26.5306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,264,98
"2,2,3,3-tetramethylpentane",CC(C)(C(CC)(C)C)C,70.3125,10.9375,0,18.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,128
3-methylpentane,CC(CC)CC,52.3256,32.5581,15.1163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,241,86
trans-2-octene,C\C=C\CCCCC,26.7857,50,0,0,0,0,0,0,23.2143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287,112
ethylcyclohexane,C(C)C1CCCCC1,13.3929,12.5,0,0,62.5,11.6071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291,112
ethylacetoacetate,C(C)OC(CC(=O)C)=O,23.0769,21.5385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.5385,0,0,33.8462,0,343,130
"2,6-dimethyloctane",CC(C)CCCC(CC)C,42.2535,39.4366,18.3099,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,307,142
propylformate,C(CC)OC=O,17.0455,31.8182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1818,0,0,0,32.9545,0,0,270,88
2-butoxyethylacetate,C(CCC)OCCOC(C)=O,18.75,43.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,27.5,0,344,160
2-ethoxyethanol,C(C)OCCO,16.6667,46.6667,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8889,0,17.7778,0,0,0,0,0,0,315,90
ethylpropylether,C(C)OCCC,34.0909,47.7273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.1818,0,0,0,0,0,0,248,88
"2,4,4-trimethylcyclopentanone",CC1C(CC(C1)(C)C)=O,35.7143,0,0,0,22.2222,10.3175,9.5238,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2222,0,0,0,316,126
1-heptanol,C(CCCCCC)O,12.931,72.4138,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6552,0,0,0,0,0,0,0,0,343,116
3-methyl-1-pentene,CC(C=C)CC,35.7143,16.6667,15.4762,0,0,0,0,16.6667,15.4762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240,84
3-methyl-2-butanol,CC(C(C)O)C,51.1364,0,29.5455,0,0,0,0,0,0,0,0,0,0,0,0,19.3182,0,0,0,0,0,0,0,0,300,88
isobutylformate,C(C(C)C)OC=O,29.4118,13.7255,12.7451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6863,0,0,0,28.4314,0,0,277,102
isophorone,O=C1C=C(CC(C)(C)C1)C,32.6087,0,0,0,20.2899,0,8.6957,0,0,0,9.4203,8.6957,0,0,0,0,0,0,0,0,20.2899,0,0,0,357,138
diisopropylether,C(C)(C)OC(C)C,58.8235,0,25.4902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.6863,0,0,0,0,0,0,245,102
