compound name,smiles,[-CH3],[-CH2-],[>CH-],[>C<],(-CH2-)R,(>CH-)R,(>C<)R,[=CH2],[=CH-],[=C<],(=CH-)R,(=C<)R,aCHa,saCa,aaCa,[-OH](alcohol),[-OH](phenol),[-O-],(-O-)R,[>C=O],(>C=O)R,[-CHO],[-COO-],[-COOH],FP,MW
"Phenanthrene, 7-isopropyl-1-methyl- (8CI)",Cc1cccc2c1ccc1cc(C(C)C)ccc12,19.2308,0,5.5556,0,0,0,0,0,0,0,0,0,44.4444,10.2564,20.5128,0,0,0,0,0,0,0,0,0,450.962,234
"1,1,3,3-tetramethylcyclopentane",CC1(C)CCC(C)(C)C1,47.619,0,0,0,33.3333,0,19.0476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,291.05,126
1methyl1Hindene,CC1C=Cc2ccccc21,11.5385,0,0,0,0,10,0,0,0,0,20,0,40,18.4615,0,0,0,0,0,0,0,0,0,0,338.15,130
"dodeca-1,11-diene",C=CCCCCCCCCC=C,0,67.4699,0,0,0,0,0,16.8675,15.6627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342.45,166
"Phenanthrene, 1-methyl-",Cc1cccc2c1ccc1ccccc12,7.8125,0,0,0,0,0,0,0,0,0,0,0,60.9375,6.25,25,0,0,0,0,0,0,0,0,0,430.65,192
"Naphthalene, 1,2,3,4-tetrahydro-1,1,6-trimethyl-",Cc1ccc2c(c1)CCCC2(C)C,25.8621,0,0,0,24.1379,0,6.8966,0,0,0,0,0,22.4138,20.6897,0,0,0,0,0,0,0,0,0,0,370.95,174
Tetralin,c1ccc2c(c1)CCCC2,0,0,0,0,42.4242,0,0,0,0,0,0,0,39.3939,18.1818,0,0,0,0,0,0,0,0,0,0,344.15,132
"1,3,5-tri(propan-2-yl)benzene",CC(C)c1cc(C(C)C)cc(C(C)C)c1,44.1176,0,19.1176,0,0,0,0,0,0,0,0,0,19.1176,17.6471,0,0,0,0,0,0,0,0,0,0,359.85,204
1-ethyl-1-methylcyclohexane,CCC1(C)CCCCC1,23.8095,11.1111,0,0,55.5556,0,9.5238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302.35,126
5-n-Butylnonane,CCCCC(CCCC)CCCC,24.4565,68.4783,7.0652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,338.05,184
"1,2,3-trimethylcyclopentane",CC1CCC(C)C1C,40.1786,0,0,0,25,34.8214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,282.394,112
"(1Z,5E,9E)-cyclododeca-1,5,9-triene",C1=C\CC/C=C/CC/C=C/CC/1,0,0,0,0,51.8519,0,0,0,0,0,48.1481,0,0,0,0,0,0,0,0,0,0,0,0,0,360.95,162
